source,ownership,name,aliases,country,street_address,city,state,description,primary_type,types_multiple,email,primary_website,phone,facebook,latitude,longitude,function,theme,target audience,network_affiliation,services,fablabs_url,hackerspaces_url,status,flickr,youtube,ustream,mailinglist,last_updated,open_to_exchanges,irc,date_of_founding,number_of_members,wiki,twitter,googleplus,membership_fee,jabber,open_to_residencies,size,g_place_id,image_url,tools ,other_websites,africahubs
Hackerspaces.org,,Netz39,,Germany,"Leibnizstrasse 32, 39104, Magdeburg, Germany",Magdeburg, Saxony-Anhalt,,Workshop,,kontakt(at)netz39(dot)de,netz39.de,+49 391 58245281,https://www.facebook.com/Netz39,"52 7'10"""," 11 37'46""",,,,Hackerspaces,,,https://wiki.hackerspaces.org/Netz39,active,,https://www.youtube.com/user/Netz39De,,https://www.netz39.de/lists/listinfo/netz39-list,11/20/14,,irc://irc.freenode.net/#netz39,5/6/12,51 to 100,http://www.netz39.de/wiki/,https://twitter.com/netz39,,"active members: 30___/10___ per month, support membership available",,,~100m__,,,"3D Printer, 3D Scanner, Air Compressor, Arcade, CNC Mill or Router, Circuit Production, Kitchen, Sewing Machine, Electronics",,
Hackerspaces.org,,CHAMP,,United States,"1414 Whipple Ave. NW, 44708, Canton",Canton, Ohio,,Workshop,,http://hackcanton.com/contact-us/,hackcanton.com,+1 (330) 485-3HAX,https://www.facebook.com/HackCanton,40.8133,-81.425,,,,Hackerspaces,,,https://wiki.hackerspaces.org/CHAMP,active,,http://www.youtube.com/user/hackcanton,,https://groups.google.com/forum/#!forum/hackcanton,10/2/15,no,irc://irc.freenode.net/hackcanton,10/1/13,1 to 50,,https://twitter.com/hackcanton,https://plus.google.com/u/1/b/113843077164194265106/113843077164194265106/,$20 USD/Month due by monthly meeting or $240/Year due by January Meeting,,no,1200 ft__,ChIJ6RkC6HfQNogR47zNg8YQiQE,,"3D Printer, 3D Scanner, Air Compressor, Arcade, CNC Mill or Router, Drill Press, Kitchen, Lathe, welding, Bandsaw, Sewing Machine, Electronics",,
Hackerspaces.org,,Arch Reactor,,United States,Saint Louis,Saint Louis, Missouri,,Workshop,,,archreactor.org,,https://www.facebook.com/ArchReactor,38.6067,-90.2222,,,,Hackerspaces,,,https://wiki.hackerspaces.org/Arch_Reactor,active,,,http://www.ustream.tv/channel/archreactor1,,9/12/15,,irc://irc.freenode.net/#archreactor,6/1/09,1 to 50,,,https://plus.google.com/u/0/communities/115687168138444250946,$45/month,,,2500 ft__,ChIJnxAk3ICz2IcRzK5TInZ6skQ,,"3D Printer, 3D Scanner, Air Compressor, Arcade, CNC Mill or Router, Drill Press, Laser Cutter, Lathe, Bandsaw, Electronics",,
Hackerspaces.org,,TinkerMill,,United States,"1130 Francis St. #7116 Longmont CO  80501, 1840 Delaware Pl, 80501, Longmont",Longmont, Colorado,,Workshop,,info@tinkermill.org,tinkermill.org,303-875-1243,https://www.facebook.com/Tinkermill,40.1556,-105.124,,,,Hackerspaces,,,https://wiki.hackerspaces.org/TinkerMill,active,,https://www.youtube.com/channel/UCCn8PDjOarLlhyBiIAWew1w,http://www.ustream.tv/channel/tinkermill-longmont-hackersapce,,11/22/14,,,5/11/13,51 to 100,,https://twitter.com/TinkerMill,https://plus.google.com/+TinkermillOrg/posts,"$25 mo for students/starving hackers$50 mo for regular memberships$75 mo for families$100 mo for dedicated desk$300+ mo for dedicated office space$2.50 per mo per SF for dedicated studio or workshop space$5000 year for corporate sponsorship (includes 5 memberships)",,,7500,ChIJVTM3FYf5a4cRR18JXaPeBLI,,"3D Printer, 3D Scanner, Air Compressor, Bio Lab, CNC Mill or Router, Drill Press, Kitchen, Laser Cutter, Lathe, Sewing machine, Shower, welding, Bandsaw, Sewing Machine, Electronics",,
Hackerspaces.org,,OpenLab Group,,Switzerland,"Via Girella 20, 6814-, Lamone - Lugano, Switzerland",Lamone - Lugano, Ticino,,Workshop,,info@openlabgroup.com,openlabgroup.com,919677171,https://www.facebook.com/OpenLabLugano,"46 2'32"""," 8 55'51""",,,,Hackerspaces,,,https://wiki.hackerspaces.org/OpenLab_Group,active,,,,,10/17/15,,,6/1/15,1 to 50,,https://twitter.com/OpenLab_Lugano,https://plus.google.com/112641553655990917415/about,from chf 14.-,,,790 m2,,,"3D Printer, 3D Scanner, Air Compressor, CNC Mill or Router, Circuit Production, Drill Press, Laser Cutter, Lathe, Sewing machine, Shower, welding, Bandsaw, Sewing Machine, Electronics",,
Hackerspaces.org,,Tsinghua i.Center,,China,"\xe5\x8c\x97\xe4\xba\xac\xe5\xb8\x82\xe6\xb5\xb7\xe6\xb7\x80\xe5\x8c\xba\xe6\xb8\x85\xe5\x8d\x8e\xe5\xa4\xa7\xe5\xad\xa6\xe5\x9f\xba\xe7\xa1\x80\xe5\xb7\xa5\xe4\xb8\x9a\xe8\xae\xad\xe7\xbb\x83\xe4\xb8\xad\xe5\xbf\x83, 100084, Beijing, China",Beijing, ,,Workshop,,tsinghua.i.center@gmail.com,xlzx.tsinghua.edu.cn,,,"39 59'49"""," 116 19'43""",,,,Hackerspaces,,,https://wiki.hackerspaces.org/Tsinghua_i.Center,active,,,,,8/26/15,yes,,,101 to 500,166.111.198.38/mediawiki,,,,,yes,16000 m__,,,"3D Printer, 3D Scanner, Air Compressor, CNC Mill or Router, Circuit Production, Drill Press, Laser Cutter, Lathe, Sewing machine, welding, Bandsaw, Sewing Machine, Electronics",,
Hackerspaces.org,,I3 Detroit,,United States,"1481-A Wordsworth, Ferndale, MI-48220, Ferndale",Ferndale, Michigan,,Workshop,,contact@i3detroit.com,i3detroit.org,+1(248)556-9995 (Email produces a faster response),,42.4533,-83.1136,,,,Hackerspaces,,,https://wiki.hackerspaces.org/I3_Detroit,active,,http://www.youtube.com/user/i3detroit,,http://groups.google.com/group/i3detroit-public,4/3/15,,irc://irc.freenode.net/#i3Detroit,4/1/09,101 to 500,http://i3detroit.org/wi/index.php?title=Main_Page,http://twitter.com/i3detroit,,"$49 per month (USD) (the only level of membership): 24/7 access to the space by RFID key, tool usage, member storage allocation, members-only discussion list access, class discounts, and invitations to members-only events., $0 for guests: 24/7 access whenever your friend the member is around to host you as their guest. Full access to tools, but no storage, and cannot be alone in the space (must have a member present).",,,8000 ft__,ChIJkV4MWVDOJIgRkDaYjtLQJtg,,"3D Printer, 3D Scanner, Air Compressor, CNC Mill or Router, Circuit Production, Drill Press, Laser Cutter, Lathe, Shower, welding, Bandsaw, Electronics",http://i3detroit.eventbrite.com,
Hackerspaces.org,,Connected Community,",CCHS,Connected Community HackerSpace",Australia,"5 Kent Lane, Hawthorn-3122, Melbourne, Australia",Melbourne, Victoria,,Workshop,,connected-community-hackerspace@googlegroups.com,hackmelbourne.org,,https://www.facebook.com/ConnectedCommunityHackerSpace,"-37 49'24"""," 145 2'20""",,,,Hackerspaces,,,https://wiki.hackerspaces.org/Connected_Community,active,http://www.flickr.com/groups/connected-community-hackerspace,,,https://groups.google.com/forum/?#!forum/connected-community-hackerspace,8/17/15,Maybe,irc://chat.freenode.net/#cchs,3/1/09,51 to 100,http://www.hackmelbourne.org/wiki/,https://twitter.com/HackMelbourne,https://plus.google.com/114152356800087505040,"Standard Membership: $60 AUD Monthly / $180 AUD Quarterly / $720 AUD Yearly., Concession Membership: $30 AUD Monthly / $90 AUD Quarterly / $360 AUD Yearly., Casual Visit: $10 AUD per visit.",,no,100m__,,,"3D Printer, 3D Scanner, Air Compressor, CNC Mill or Router, Circuit Production, Drill Press, Laser Cutter, Lathe, welding, Bandsaw, Electronics",,
Hackerspaces.org,,Hack.rva,,United States,"1600 Roseneath Road Suite E, Richmond, VA, 23230, Richmond",Richmond, Virginia,,Workshop,,,hackrva.org,,http://facebook.com/hackrva,37.5708,-77.4731,,,,Hackerspaces,,,https://wiki.hackerspaces.org/Hack.rva,active,,,,,8/9/15,,,3/26/09,51 to 100,http://hackrva.org,,,$30/month,,,,ChIJYS1EqgMUsYkRehAM-AKtt-U,,"3D Printer, 3D Scanner, Air Compressor, CNC Mill or Router, Circuit Production, Drill Press, welding, Sewing Machine, Electronics",,
Hackerspaces.org,,Fablab Wuerzburg,,Germany,"Veitsh\xc3\xb6chheimer-Str. 14, 97080, Wuerzburg, Germany",Wuerzburg, Bavaria,,Workshop,,info@fablab-wuerzburg.de,fablab-wuerzburg.de,+49 931 35823240,,"49 48'7"""," 9 55'23""",,,,Hackerspaces,,,https://wiki.hackerspaces.org/Fablab_Wuerzburg,active,,,,,4/8/15,yes,http://www.nerd2nerd.org/projekte/services/irc,7/1/14,1 to 50,https://fablab-wuerzburg.de/wiki,https://twitter.com/FablabWuerzburg,,"19 ___ monthly (FabLab)10 ___ yearly (Nerd2Nerd)",,maybe,170 m__,,,"3D Printer, 3D Scanner, Air Compressor, CNC Mill or Router, Circuit Production, Kitchen, Lathe, Electronics",,
Hackerspaces.org,,Techno Chaos,,United States,"7320 Hwy 90A, Suite 210, Sugar Land",Sugar Land, Texas,,Workshop,,,techno-chaos.com,281-410-1768,https://www.facebook.com/TechnoChaos,29.6158,-95.6425,,,,Hackerspaces,,,https://wiki.hackerspaces.org/Techno_Chaos,active,https://www.flickr.com/photos/techno_chaos/sets/,https://www.youtube.com/user/technochaosrobotics,,http://visitor.r20.constantcontact.com/manage/optin/ea?v=001mPO5VKFGAvVEabhLigPJUKHnRM3bNwkVsEbudTX6SANmDNQ3rfTV25z8xzaeD3EgkafnwBkLh38=,1/16/15,Yes,,6/20/11,51 to 100,,https://twitter.com/technochaos,,"Innovator Membership has access Tue-Wed & Fri-Sun for $110.00/month.Inventor Membership has access Sat-Sun for $75.00/month.",,Yes,300 ft__ -1000 ft__,ChIJh3UEnNPmQIYRMRU57TkiyE4,,"3D Printer, 3D Scanner, Air Compressor, CNC Mill or Router, Drill Press, Bandsaw, Sewing Machine, Electronics",,
Hackerspaces.org,,IFabrica,,Netherlands,"Gedempt hamerkanaal 139, 1021 KP, Amsterdam, Netherlands",Amsterdam, Noord-Holland,,Workshop,,info@ifabrica.nl,ifabrica.nl,020 - 303 24 57,https://nl-nl.facebook.com/iFabrica.nl,"52 22'56"""," 4 55'16""",,,,Hackerspaces,,,https://wiki.hackerspaces.org/IFabrica,active,,,,,3/20/14,,,,,,,,See website for current prices,,,total size 1500 m__,,,"3D Printer, 3D Scanner, Air Compressor, CNC Mill or Router, Drill Press, Kitchen, Laser Cutter, Lathe, welding, Sewing Machine, Electronics",,
Hackerspaces.org,,CT Hackerspace,,United States,"30 Echo Lake Road, 06795, Watertown",Watertown, Connecticut,,Workshop,,contact@cthackerspace.com,cthackerspace.com,(203) 450 - 4 - CHS,http://www.facebook.com/pages/CT-Hackerspace-Inc/158960070794548,41.6031,-73.1153,,,,Hackerspaces,,,https://wiki.hackerspaces.org/CT_Hackerspace,active,,https://www.youtube.com/user/cthackerspace,,cthackerspace@googlegroups.com,7/18/15,Yes,irc.freenode.net #cthackerspace,2/14/10,1 to 50,,http://twitter.com/CThackerspace,https://plus.google.com/117572515830124922775/posts,$50 per month for (vetted) full time membership,,No,4000 square feet,ChIJ8-a03a3B54kRP_nQiMXgO-I,,"3D Printer, 3D Scanner, Air Compressor, CNC Mill or Router, Drill Press, Kitchen, Lathe, welding, Sewing Machine, Electronics",,
Hackerspaces.org,,HackBerry Lab,,United States,"495024, 2277 Martha Berry Hwy, 30149-5024, Rome",Rome, Georgia,,Workshop,,jgrout@berry.edu,hackberrylab.com,7062387877,,34.2892,-85.1886,,,,Hackerspaces,,,https://wiki.hackerspaces.org/HackBerry_Lab,active,,,,jgrout@berry.edu,6/4/14,,,6/1/14,,,https://twitter.com/HackBerryLab,,The space is for use by Berry College students enrolled in the Creative Technology program. Fees are currently not required.,,,1000 ft2,ChIJgcML3r6kiogRXBPYOz2qhas,,"3D Printer, 3D Scanner, Air Compressor, CNC Mill or Router, Drill Press, Laser Cutter, Electronics",,
Hackerspaces.org,,HexLab Makerspace,Http://hackerspaces.org/wiki/Los Angeles,United States,"18740 Oxnard St Los Angeles, CA 91356 #303, 91356, Los Angeles",Los Angeles, California,,Workshop,,,hexlabmakerspace.com,,https://www.facebook.com/hexlab,34.1794,-118.542,,,,Hackerspaces,,,https://wiki.hackerspaces.org/Http://hackerspaces.org/wiki/Los_Angeles,active,,,,,11/16/14,yes,,12/31/13,51 to 100,,https://twitter.com/HexLabmake,,"55 for an individual $40 for the student $30 for a family member add on, www.hexlabmakerspace.com/membership-info/",,yes,4000ft2,ChIJn9vp-3KZwoARtjC2fUhX_qw,,"3D Printer, 3D Scanner, Air Compressor, CNC Mill or Router, Drill Press, Laser Cutter, Lathe, Bandsaw, Sewing Machine, Electronics",http://www.meetup.com/hexlabmakerspace/,
Makery,,Toyhouse,Hackers in Residence Tsinghua,China,"Room 410, Shunde Building, Tsinghua University, Beijing, 100084, Beijing, China",,,,Workshop,,toyhouse.adm@gmail.com,toyhouse.cc,,,39.9946,116.329,,,,Hackerspaces,Educating,,https://wiki.hackerspaces.org/Hackers_in_Residence_Tsinghua,planned,,,,,10/18/13,yes,,11/1/13,101 to 500,,,,0 ~ Contribution of any form is welcome!,,maybe,,,,"3D Printer, 3D Scanner, Air Compressor, CNC Mill or Router, Drill Press, Laser Cutter, Lathe, welding, Electronics",,
Hackerspaces.org,,Urban Workshop,,United States,"17161 Gillette Ave, 92614, Irvine",Irvine, California,,Workshop,,info@urbanworkshop.net,urbanworkshop.net,949-296-2153,https://www.facebook.com/TheUrbanWorkshop,33.6978,-117.849,,,,Hackerspaces,,,https://wiki.hackerspaces.org/Urban_Workshop,active,,,,,11/19/14,yes,,5/15/14,101 to 500,,,,"Month to Month: $175Annual with 12 month payments: $125/monthAnnual Prepaid: $1392 ($116/month)Student/active military $99/month",,no,6000 ft^2,ChIJMd54Tbne3IAR72cZk7gdn2g,,"3D Printer, 3D Scanner, Air Compressor, CNC Mill or Router, Drill Press, Laser Cutter, Lathe, welding, Sewing Machine",,
Hackerspaces.org,,Vaasa Hacklab,,Finland,"Vaasa, Finland",Vaasa, ,,Workshop,,,vaasa.hacklab.fi,,https://www.facebook.com/vaasahacklab,"63 6'35"""," 21 35'6""",,,,Hackerspaces,,,https://wiki.hackerspaces.org/Vaasa_Hacklab,active,,,,,9/21/15,yes,VaasaHacklab @ freenode,1/6/12,1 to 50,,,,"20___/year, 5-50___/month",,maybe,150m__ including wood workshop,,,"3D Printer, 3D Scanner, Air Compressor, Drill Press, Kitchen, Laser Cutter, Bandsaw, Sewing Machine, Electronics",,
Hackerspaces.org,,Montana Ethical Hackers,,United States,"30 S. Ewing STE 200, 59601, Helena",Helena, Montana,,Workshop,,saintmeh@gmail.com,mthackers.com,406-992-1599,http://www.facebook.com/pages/Montana-Ethical-Hackers-MEH/136626863038225,46.5886,-112.038,,,,Hackerspaces,,,https://wiki.hackerspaces.org/Montana_Ethical_Hackers,active,,http://www.youtube.com/user/mehgle,http://www.ustream.tv/channel/meh-stdio-library,2@digitaldetermination.com,2/24/15,yes,,9/1/10,1 to 50,,http://www.twitter.com/mthackspace,,"Free for the first month, Membership costs $30 a month and separate payment plans may be arranged with the President. 5$ per family for Game Nights.",,yes,2600sqft (8+ rooms),ChIJb4M-Tj1VQ1MRlcQNsUc0sCU,,"3D Printer, 3D Scanner, Arcade, CNC Mill or Router, Kitchen, Sewing Machine, Electronics",,
fab_lab,,Hackspace Catania,Hackspacecatania,Italy,"Via Grotte Bianche, 112,  95129, ",Catania, ,"HackspaceCatania is an association where people with common interest in technology, science, digital art, electonics can meet and cooperate to develop shared projects or just to play and stay together Hackspace Catania is based on the 'hack' concept, on a deep analisys to re-design a system to let it work in a way not foreseen by its first creator.The Hackspace can be considered as a community's place that embeed both workshop and art studio's elements, where meets, share tools and knowledges and improve technical and artistical skills.Hackspace  Catania is in slow and constant expansion.Right now it's divided in three main areas:- Meetig Zone: for meetings, seminars, courses, cineforums, recreational events, debates, exhibitions and many others activities.- Workshop Zone: equipped to woodworking, metalworking, sew, solder, treat plastics and chemichal.- Creativity Zone: to work on personal or shared projects, equipped with 2 3d printers, CNC mill, audioboot, still life screen, cromakey, and a relax zone dedicated to retrogaming with Commodore 64, Amiga 1200 and Mame.Hackspace Catania offers a variety of courses like compositing video, sound design, 2d animation, 3d printing, Arduino and base of electronics, videomapping, 3D modeling, and many others are in the planning.Among the activities we have also:- NightHack, a monthly meeting to confrontation about technological topics starting from hw or sw projects.- Press Start, a monthly meeting dedicated to retrogaming, lan party, role and board game.- Filmhackers to talk about tech starting from movies.- Hack jam,  every three months, 48 hours of immersive DIY activities in side structures to partecipate to mini courses and collaborative workshops, sharing resources, spaces and time hacking things.",Workshop,,info@hackspacecatania.it,hackspacecatania.it,,https://www.facebook.com/pages/Hackspace-Catania/1457341927813814,37.5132991,15.0880438,,,,"Fab Lab, Hackerspaces",,https://www.fablabs.io/hackspacecatania,https://wiki.hackerspaces.org/Hackspace_Catania,,,,,,4/10/14,yes,,11/11/13,101 to 500,,,,40___,,no,72m2,,,"3D Printer, 3D Scanner, Arcade, CNC Mill, Circuit Production, Drill Press, welding, Bandsaw, Sewing, Electronics",,
Hackerspaces.org,,Proto.Lab (Duluth),Proto.Lab,United States,Duluth,Duluth, Minnesota,,Workshop,,,,,,46.7817,-92.0944,,,,Hackerspaces,,,https://wiki.hackerspaces.org/HackerspaceWiki:Proto.Lab,planned,,,,,4/18/14,,,3/1/14,,,,,,,,,ChIJh2UXjL9SrlIRunu1jzCd8jc,,"3D Printer, 3D Scanner, Circuit Production, Kitchen, Electronics",,
Hackerspaces.org,,PMClab,,France,"Tour 32-33 salle 111, 4 place Jussieu, 75005 Paris, Paris, France",Paris, Ile de France,,Workshop,,contact@pmclab.fr,pmclab.fr,,https://facebook.com/PMClab,48.8464,2.35485,,,,Hackerspaces,,,https://wiki.hackerspaces.org/PMClab,active,,,,,10/23/14,Maybe,,10/28/13,51 to 100,http://pmclab.fr/dokuwiki,https://twitter.com/PMClab,,10EUR per academic year.,,no,120m__,,,"3D Printer, 3D Scanner, CNC Mill or Router, Circuit Production, Drill Press, Electronics",,
Hackerspaces.org,,IdeaFabLabs,,United States,Chico,Chico, California,,Workshop,,,ideafablabs.com,,https://www.facebook.com/ideafablabs,39.7225,-121.844,,,,Hackerspaces,,,https://wiki.hackerspaces.org/IdeaFabLabs,active,,,,,8/13/14,Maybe,,5/4/13,1 to 50,,,,"$30/Month for Makerspace level and varying levels of Fabrication level memberships., http://www.ideafablabs.com/membership",,yes,"6,900 ft__",ChIJu2ARTZkng4ARSC8yBIeEzNU,,"3D Printer, 3D Scanner, CNC Mill or Router, Circuit Production, Drill Press, Laser Cutter, Sewing machine, Bandsaw, Sewing Machine, Electronics",,
Hackerspaces.org,,Otelo Gmunden,,Austria,"Klosterplatz 2, AT-4810, Gmunden, Austria",Gmunden, Upperaustria,,Workshop,,fritz_feichtinger@aon.at,otelo.or.at/werknetz/nodes/#c252,,,"47 55'2"""," 13 48'17""",,,,Hackerspaces,,,https://wiki.hackerspaces.org/Otelo_Gmunden,active,,,,,9/27/15,,,,1 to 50,,,,free,xmpp:otelo@conference.xmpp.oe5tpo.com?join,,,,,"3D Printer, 3D Scanner, CNC Mill or Router, Circuit Production, Kitchen, Sewing Machine, Electronics",,
Hackerspaces.org,,Fab Lab Devon,",FabLab Devon,",United Kingdom,"Exeter Library, Castle Street, Exeter, Devon, EX4-EX4 3PQ, Exeter, England UK",Exeter, Devon,,Workshop,,,fablabdevon.org,,https://www.facebook.com/fablabdevon,"50 43'29"""," -3 31'48""",,,,Hackerspaces,,,https://wiki.hackerspaces.org/Fab_Lab_Devon,active,,https://www.youtube.com/channel/UC35PeBHAS6mobNRnWVzHlgA,,,11/16/14,yes,,8/1/14,1 to 50,,https://twitter.com/FabLabDevon,,10GBP / month,,maybe,50 ft__,,,"3D Printer, 3D Scanner, CNC Mill or Router, Circuit Production, Laser Cutter, Sewing Machine, Electronics",http://www.eventbrite.co.uk/o/fablab-devon-6722521537,
